timestamp,equipment_tag,sensor_tag,value,measurement_type,unit,label,is_anomaly
2025-01-01T00:00:00,C-201,PT-201S,8.2948,pressure,barg,pre_failure,1
2025-01-01T00:00:00,C-201,PT-201D,8.6685,pressure,barg,pre_failure,1
2025-01-01T00:00:00,C-201,TT-201S,100,temperature,°C,pre_failure,1
2025-01-01T00:00:00,C-201,TT-201D,107.466,temperature,°C,pre_failure,1
2025-01-01T00:00:00,C-201,VT-201DE,3.0492,vibration,mm/s,pre_failure,1
2025-01-01T00:00:00,C-201,VT-201NDE,2.6736,vibration,mm/s,pre_failure,1
2025-01-01T00:00:00,C-201,ST-201,11325.1185,speed,RPM,pre_failure,1
2025-01-01T00:00:00,C-201,TT-201B1,117.4879,temperature,°C,pre_failure,1
2025-01-01T00:00:00,C-201,TT-201B2,114.8278,temperature,°C,pre_failure,1
2025-01-01T00:00:00,C-201,YT-201AX,44.289,displacement,μm,pre_failure,1
2025-01-01T00:00:00,C-201,YT-201AY,42.4583,displacement,μm,pre_failure,1
2025-01-01T00:00:00,C-201,FT-201,23351.5718,flow,m³/h,pre_failure,1
2025-01-01T00:00:00,C-201,IT-201,246.0321,current,A,pre_failure,1
2025-01-01T00:00:30,C-201,PT-201S,7.4268,pressure,barg,pre_failure,1
2025-01-01T00:00:30,C-201,PT-201D,7.5831,pressure,barg,pre_failure,1
2025-01-01T00:00:30,C-201,TT-201S,100,temperature,°C,pre_failure,1
2025-01-01T00:00:30,C-201,TT-201D,105.8721,temperature,°C,pre_failure,1
2025-01-01T00:00:30,C-201,VT-201DE,2.9944,vibration,mm/s,pre_failure,1
2025-01-01T00:00:30,C-201,VT-201NDE,3.3829,vibration,mm/s,pre_failure,1
2025-01-01T00:00:30,C-201,ST-201,11189.0362,speed,RPM,pre_failure,1
2025-01-01T00:00:30,C-201,TT-201B1,120.4784,temperature,°C,pre_failure,1
2025-01-01T00:00:30,C-201,TT-201B2,116.8938,temperature,°C,pre_failure,1
2025-01-01T00:00:30,C-201,YT-201AX,43.485,displacement,μm,pre_failure,1
2025-01-01T00:00:30,C-201,YT-201AY,42.1995,displacement,μm,pre_failure,1
2025-01-01T00:00:30,C-201,FT-201,21642.9385,flow,m³/h,pre_failure,1
2025-01-01T00:00:30,C-201,IT-201,242.5882,current,A,pre_failure,1
2025-01-01T00:01:00,C-201,PT-201S,7.4002,pressure,barg,pre_failure,1
2025-01-01T00:01:00,C-201,PT-201D,7.626,pressure,barg,pre_failure,1
2025-01-01T00:01:00,C-201,TT-201S,100,temperature,°C,pre_failure,1
2025-01-01T00:01:00,C-201,TT-201D,106.5604,temperature,°C,pre_failure,1
2025-01-01T00:01:00,C-201,VT-201DE,3.158,vibration,mm/s,pre_failure,1
2025-01-01T00:01:00,C-201,VT-201NDE,2.8609,vibration,mm/s,pre_failure,1
2025-01-01T00:01:00,C-201,ST-201,11593.1018,speed,RPM,pre_failure,1
2025-01-01T00:01:00,C-201,TT-201B1,116.254,temperature,°C,pre_failure,1
2025-01-01T00:01:00,C-201,TT-201B2,117.2519,temperature,°C,pre_failure,1
2025-01-01T00:01:00,C-201,YT-201AX,40.9298,displacement,μm,pre_failure,1
2025-01-01T00:01:00,C-201,YT-201AY,43.4115,displacement,μm,pre_failure,1
2025-01-01T00:01:00,C-201,FT-201,21488.5157,flow,m³/h,pre_failure,1
2025-01-01T00:01:00,C-201,IT-201,246.5246,current,A,pre_failure,1
2025-01-01T00:01:30,C-201,PT-201S,7.1668,pressure,barg,pre_failure,1
2025-01-01T00:01:30,C-201,PT-201D,6.9124,pressure,barg,pre_failure,1
2025-01-01T00:01:30,C-201,TT-201S,100,temperature,°C,pre_failure,1
2025-01-01T00:01:30,C-201,TT-201D,102.1827,temperature,°C,pre_failure,1
